name,hexa,r,g,b
Red,#ED0A3F,237,10,63
Maroon,#C32148,195,33,72
Scarlet,#FD0E35,253,14,53
Brick Red,#C62D42,198,45,66
English Vermilion,#CC474B,204,71,75
Madder Lake,#CC3336,204,51,54
Permanent Geranium Lake,#E12C2C,225,44,44
Maximum Red,#D92121,217,33,33
Chestnut,#B94E48,185,78,72
Orange-Red,#FF5349,255,83,73
Sunset Orange,#FE4C40,254,76,64
Bittersweet,#FE6F5E,254,111,94
Dark Venetian Red,#B33B24,179,59,36
Venetian Red,#CC553D,204,85,61
Light Venetian Red,#E6735C,230,115,92
Vivid Tangerine,#FF9980,255,153,128
Middle Red,#E58E73,229,142,115
Burnt Orange,#FF7034,255,112,52
Red-Orange,#FF3F34,255,63,52
Orange,#FF8833,255,136,51
Macaroni and Cheese,#FFB97B,255,185,123
Middle Yellow Red,#ECAC76,236,172,118
Mango Tango,#E77200,231,114,0
Yellow-Orange,#FFAE42,255,174,66
Maximum Yellow Red,#F2BA49,242,186,73
Banana Mania,#FBE7B2,251,231,178
Maize,#F2C649,242,198,73
Orange-Yellow,#F8D568,248,213,104
Goldenrod,#FCD667,252,214,103
Dandelion,#FED85D,254,216,93
Yellow,#FBE870,251,232,112
Green-Yellow,#F1E788,241,231,136
Middle Yellow,#FFEB00,255,235,0
Olive Green,#B5B35C,181,179,92
Spring Green,#ECEBBD,236,235,189
Maximum Yellow,#FAFA37,250,250,55
Canary,#FFFF99,255,255,153
Lemon Yellow,#FFFF9F,255,255,159
Maximum Green Yellow,#D9E650,217,230,80
Middle Green Yellow,#ACBF60,172,191,96
Light Chrome Green,#BEE64B,190,230,75
Yellow-Green,#C5E17A,197,225,122
Maximum Green,#5E8C31,94,140,49
Asparagus,#7BA05B,123,160,91
Granny Smith Apple,#9DE093,157,224,147
Fern,#63B76C,99,183,108
Middle Green,#4D8C57,77,140,87
Green,#01A638,1,166,56
Medium Chrome Green,#6CA67C,108,166,124
Forest Green,#5FA777,95,167,119
Sea Green,#93DFB8,147,223,184
Shamrock,#33CC99,51,204,153
Mountain Meadow,#1AB385,26,179,133
Jungle Green,#29AB87,41,171,135
Caribbean Green,#00CC99,0,204,153
Tropical Rain Forest,#00755E,0,117,94
Middle Blue Green,#8DD9CC,141,217,204
Pine Green,#01796F,1,121,111
Maximum Blue Green,#30BFBF,48,191,191
Robin's Egg Blue,#00CCCC,0,204,204
Teal Blue,#008080,0,128,128
Light Blue,#8FD8D8,143,216,216
Aquamarine,#95E0E8,149,224,232
Turquoise Blue,#6CDAE7,108,218,231
Outer Space,#2D383A,45,56,58
Sky Blue,#76D7EA,118,215,234
Middle Blue,#7ED4E6,126,212,230
Blue-Green,#0095B7,0,149,183
Pacific Blue,#009DC4,0,157,196
Cerulean,#02A4D3,2,164,211
Maximum Blue,#47ABCC,71,171,204
Blue (I),#2EB4E6,46,180,230
Cerulean Blue,#339ACC,51,154,204
Cornflower,#93CCEA,147,204,234
Green-Blue,#2887C8,40,135,200
Midnight Blue,#003366,0,51,102
Navy Blue,#0066CC,0,102,204
Denim,#1560BD,21,96,189
Blue (III),#0066FF,0,102,255
Cadet Blue,#A9B2C3,169,178,195
Periwinkle,#C3CDE6,195,205,230
Blue (II),#4570E6,69,112,230
Bluetiful,#3C69E7,60,105,231
Indigo,#4F69C6,79,105,198
Manatee,#8D90A1,141,144,161
Cobalt Blue,#8C90C8,140,144,200
Celestial Blue,#7070CC,112,112,204
Blue Bell,#9999CC,153,153,204
Maximum Blue Purple,#ACACE6,172,172,230
Violet-Blue,#766EC8,118,110,200
Blue-Violet,#6456B7,100,86,183
Ultramarine Blue,#3F26BF,63,38,191
Middle Blue Purple,#8B72BE,139,114,190
Purple Heart,#652DC1,101,45,193
Royal Purple,#6B3FA0,107,63,160
Violet (II),#8359A3,131,89,163
Medium Violet,#8F47B3,143,71,179
Wisteria,#C9A0DC,201,160,220
Lavender (I),#BF8FCC,191,143,204
Vivid Violet,#803790,128,55,144
Maximum Purple,#733380,115,51,128
Purple Mountains' Majesty,#D6AEDD,214,174,221
Fuchsia,#C154C1,193,84,193
Pink Flamingo,#FC74FD,242,116,253
Violet (I),#732E6C,115,46,108
Brilliant Rose,#E667CE,230,103,206
Orchid,#E29CD2,226,156,210
Plum,#843179,132,49,121
Medium Rose,#D96CBE,217,108,190
Thistle,#D8BFD8,216,191,216
Mulberry,#C8509B,200,80,155
Red-Violet,#BB3385,187,51,133
Middle Purple,#D982B5,217,130,181
Maximum Red Purple,#A63A79,166,58,121
Jazzberry Jam,#A50B5E,165,11,94
Eggplant,#614051,97,64,81
Magenta,#F653A6,246,83,166
Cerise,#DA3287,218,50,135
Wild Strawberry,#FF3399,255,51,153
Lavender (II),#FBAED2,251,174,210
Cotton Candy,#FFB7D5,255,183,213
Carnation Pink,#FFA6C9,255,166,201
Violet-Red,#F7468A,247,70,138
Razzmatazz,#E30B5C,227,11,92
Piggy Pink,#FDD7E4,253,215,228
Carmine,#E62E6B,230,46,107
Blush,#DB5079,219,80,121
Tickle Me Pink,#FC80A5,252,128,165
Mauvelous,#F091A9,240,145,169
Salmon,#FF91A4,255,145,164
Middle Red Purple,#A55353,165,83,83
Mahogany,#CA3435,202,52,53
Melon,#FEBAAD,254,186,173
Pink Sherbert,#F7A38E,247,163,142
Burnt Sienna,#E97451,233,116,81
Brown,#AF593E,175,89,62
Sepia,#9E5B40,158,91,64
Fuzzy Wuzzy,#87421F,135,66,31
Beaver,#926F5B,146,111,91
Tumbleweed,#DEA681,222,166,129
Raw Sienna,#D27D46,210,125,70
Van Dyke Brown,#664228,102,66,40
Tan,#FA9D5A,250,157,90
